Num_iterations,PE,Freq,NextFreq,TimeFreq1,TimeTotal
20000000,GPU,4,3,0,43517
20000000,GPU,3,4,0,42259
20000000,GPU,4,2,0,48754
20000000,GPU,2,4,0,42865
20000000,GPU,4,1,0,61047
20000000,GPU,1,4,0,43321
20000000,GPU,4,0,0,87658
20000000,GPU,0,4,0,43136
20000000,GPU,3,0,0,87509
20000000,GPU,2,1,0,60628
20000000,GPU,1,2,0,48720
20000000,GPU,0,3,0,43574
20000000,GPU,3,1,0,60749
20000000,GPU,2,0,0,87736
20000000,GPU,1,3,0,43594
20000000,GPU,0,2,0,48611
20000000,GPU,3,2,0,48556
20000000,GPU,2,3,0,42752
20000000,GPU,1,0,0,87528
20000000,GPU,0,1,0,60505
20000000,GPU,4,4,0,41916
20000000,GPU,3,3,0,42767
20000000,GPU,2,2,0,49415
20000000,GPU,1,1,0,60674
20000000,GPU,0,0,0,87512
20000000,Big,7,0,0,1.4768e+06
20000000,Big,6,1,0,1.00288e+06
20000000,Big,5,2,0,736962
20000000,Big,4,3,0,596296
20000000,Big,3,4,0,501425
20000000,Big,2,5,0,425701
20000000,Big,1,6,0,375869
20000000,Big,0,7,0,336616
20000000,Big,7,1,0,1.00295e+06
20000000,Big,6,0,0,1.47740e+06
20000000,Big,5,3,0,596273
20000000,Big,4,2,0,736931
20000000,Big,3,5,0,425311
20000000,Big,2,4,0,503330
20000000,Big,1,7,0,336030
20000000,Big,0,6,0,376543
20000000,Big,7,2,0,737290
20000000,Big,6,3,0,596429
20000000,Big,5,0,0,1.47698e+06
20000000,Big,4,1,0,1.00481e+06
20000000,Big,3,6,0,374847
20000000,Big,2,7,0,335565
20000000,Big,1,4,0,502563
20000000,Big,0,5,0,427018
20000000,Big,7,3,0,596265
20000000,Big,6,2,0,736794
20000000,Big,5,1,0,1.00479e+06
20000000,Big,4,0,0,1.47958e+06
20000000,Big,3,7,0,335193
20000000,Big,2,6,0,375216
20000000,Big,1,5,0,426448
20000000,Big,0,4,0,503232
20000000,Big,7,4,0,500819
20000000,Big,6,5,0,424296
20000000,Big,5,6,0,373936
20000000,Big,4,7,0,334763
20000000,Big,3,0,0,1.47337e+06
20000000,Big,2,1,0,1.003e+06
20000000,Big,1,2,0,737875
20000000,Big,0,3,0,598721
20000000,Big,7,5,0,424298
20000000,Big,6,4,0,500731
20000000,Big,5,7,0,334377
20000000,Big,4,6,0,374396
20000000,Big,3,1,0,1.00353e+06
20000000,Big,2,0,0,1.47795e+06
20000000,Big,1,3,0,599857
20000000,Big,0,2,0,738999
20000000,Big,7,6,0,373529
20000000,Big,6,7,0,334017
20000000,Big,5,4,0,500858
20000000,Big,4,5,0,424853
20000000,Big,3,2,0,736172
20000000,Big,2,3,0,596988
20000000,Big,1,0,0,1.47775e+06
20000000,Big,0,1,0,1.00322e+06
20000000,Big,7,7,0,333673
20000000,Big,6,6,0,373610
20000000,Big,5,5,0,424242
20000000,Big,4,4,0,500760
20000000,Big,3,3,0,596451
20000000,Big,2,2,0,737081
20000000,Big,1,1,0,1.00325e+06
20000000,Big,0,0,0,1.47932e+06
20000000,Little,5,2,0,1.15495e+06
20000000,Little,4,3,0,934636
20000000,Little,3,4,0,785530
20000000,Little,2,5,0,666748
20000000,Little,5,3,0,934640
20000000,Little,4,2,0,1.15505e+06
20000000,Little,3,5,0,666115
20000000,Little,2,4,0,786114
20000000,Little,5,0,0,2.31732e+06
20000000,Little,4,1,0,1.57227e+06
20000000,Little,1,4,0,786881
20000000,Little,0,5,0,668062
20000000,Little,5,1,0,1.57207e+06
20000000,Little,4,0,0,2.31578e+06
20000000,Little,1,5,0,667463
20000000,Little,0,4,0,786753
20000000,Little,3,0,0,2.3161e+06
20000000,Little,2,1,0,1.57249e+06
20000000,Little,1,2,0,1.15629e+06
20000000,Little,0,3,0,937258
20000000,Little,3,1,0,1.57228e+06
20000000,Little,2,0,0,2.31601e+06
20000000,Little,1,3,0,936340
20000000,Little,0,2,0,1.15634e+06
20000000,Little,5,4,0,784857
20000000,Little,4,5,0,665496
20000000,Little,3,2,0,1.15508e+06
20000000,Little,2,3,0,935474
20000000,Little,1,0,0,2.31618e+06
20000000,Little,0,1,0,1.57328e+06
20000000,Little,5,5,0,664959
20000000,Little,4,4,0,784860
20000000,Little,3,3,0,934674
20000000,Little,2,2,0,1.15523e+06
20000000,Little,1,1,0,1.57261e+06
20000000,Little,0,0,0,2.32046e+06
