,name,mAP
0,"(0, 1)",68.72349735224795
1,"(0, 2)",68.7375514991384
2,"(0, 3)",68.5761216905295
3,"(0, 4)",68.71026988919266
4,"(0, 5)",68.74220295179822
5,"(0, 6)",68.61368947519637
6,"(0, 7)",68.73319212168231
7,"(0, 8)",68.68514139309056
8,"(0, 9)",68.74769014253351
9,"(0, 10)",68.70495578428108
10,"(0, 11)",68.69654257009515
11,"(0, 12)",68.70656079774055
12,"(0, 13)",68.72277924770145
13,"(0, 14)",68.68905917779433
14,"(0, 15)",68.66127753347756
15,"(0, 16)",68.7212468806014
16,"(0, 17)",68.75927789789003
17,"(0, 18)",68.72295563189255
18,"(0, 19)",68.7466133590202
19,"(0, 20)",68.72440871511259
20,"(0, 21)",68.66591445312065
21,"(0, 22)",68.7127391823262
22,"(0, 23)",68.72154090633933
23,"(0, 24)",68.72497292225114
24,"(0, 25)",68.53223853456466
25,"(0, 26)",68.79763794833072
26,"(0, 27)",68.74890689848657
27,"(0, 28)",68.4806847870966
28,"(0, 29)",68.76836041524497
29,"(0, 30)",68.66518917285076
30,"(0, 31)",68.73907848356045
31,"(0, 32)",68.65654322603312
32,"(0, 33)",68.73164685968027
33,"(0, 34)",68.6913114148658
34,"(0, 35)",68.71002368305906
35,"(0, 36)",68.7102107802098
36,"(0, 37)",68.75047208262752
37,"(0, 38)",68.57170825562753
38,"(0, 39)",68.67561036961102
39,"(0, 40)",68.50759672655438
40,"(0, 41)",68.73891020624038
41,"(0, 42)",68.61414420796338
42,"(0, 43)",68.62683576622564
43,"(0, 44)",68.5061530629584
44,"(0, 45)",68.33859282819435
45,"(0, 46)",68.61078430532478
46,"(0, 47)",68.63890544863365
47,"(0, 48)",68.72106439562418
48,"(0, 49)",68.70699326285228
49,"(0, 50)",68.7420745947725
50,"(0, 51)",68.77624935328282
51,"(0, 52)",68.75027116023618
52,"(0, 53)",68.71950363628306
53,"(0, 54)",68.74183646921183
54,"(0, 55)",68.75608692702346
55,"(0, 56)",68.64684279399302
56,"(0, 57)",68.77249250191674
57,"(0, 58)",68.56918651773591
58,"(0, 59)",68.72281298848193
59,"(0, 60)",68.69776931786711
60,"(0, 61)",68.74930603920599
61,"(0, 62)",68.69717950665542
62,"(0, 63)",68.77654948747053
63,"(0, 64)",68.73290850002255
64,"(0, 65)",68.7136554354143
65,"(0, 66)",68.71002852781882
66,"(0, 67)",68.69213419320823
67,"(0, 68)",68.72916753355788
68,"(0, 69)",68.7132217761554
69,"(0, 70)",68.67941603339334
70,"(0, 71)",68.74323711286469
71,"(0, 72)",68.69905189322083
72,"(0, 73)",68.66484591858513
73,"(0, 74)",68.74730479290976
74,"(1, 2)",68.69644718673571
75,"(1, 3)",68.4295567726242
76,"(1, 4)",68.74652419871609
77,"(1, 5)",68.68339138697915
78,"(1, 6)",68.70243827281944
79,"(1, 7)",68.6159800605819
80,"(1, 8)",68.53053888976926
81,"(1, 9)",68.648110086785
82,"(1, 10)",68.64095515042284
83,"(1, 11)",68.71339309506446
